"Keyword Version: static","Revision: 2022-01-10 17:52:40","Timestamp: 2022-01-19 17:23:35","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.uat.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=xml","Case native"
"Other","Models","","FFDAS-V2","Fossil Fuel Data Assimilation System V2","5c869d68-fbf3-466b-89a0-9622f4f6e773"
"Other","Models","","FLEXPART","FLEXible PARTicle dispersion model","6df317e1-6694-4741-b657-58b15253f384"
"Other","Models","","FSL-MAPS","FSL Mesoscale Analysis and Prediction System","f065f97b-a10e-4204-8807-dc904c409b51"
"Other","Models","","Forcing-LSM","Forcing data for Land Surface Model","862e790e-d42f-433a-8561-107562aceb64"
"Other","Models","","GCM","General Circulation Model","d1e2c5e2-076b-4949-8125-384712a33b58"
"Other","Models","","GDAS","Global Data Assimilation System","b316bcaf-1ab8-4a67-91b7-76c28bb29e4e"
"Other","Models","","GEOS-4","Goddard EOS Data Assimilation System-4","b42aa64a-6b63-4fd0-b953-4abf7558008c"
"Other","Models","","GEOS-5","Goddard EOS Data Assimilation System-5","42ad1501-744a-439c-a394-258db03d0304"
"Other","Models","","GEOS-Chem","Global 3-D chemical transport model (CTM) for atmospheric composition driven by meteorological input from the Goddard > Earth Observing System (GEOS) of the NASA Global Modeling and Assimilation Office","4773815f-2a76-425e-86cc-0bfd4c3b75c2"
"Other","Models","","GLPM","Great Lakes Production Model","913391a8-e711-43f3-ade2-ef26fddeba24"
"Other","Models","","GOCART","Goddard Chemistry Aerosol Radiation and Transport Model","bacbb5ad-9269-48ce-8da2-c22d73b9a5f2"
"Other","Models","","L4_C","SMAP Level 4 Carbon Flux Model","08ccef97-4faf-4678-8404-03945170aa21"
"Other","Models","","LNOM","Lightning Nitrogen Oxides Model","9f792df5-3995-48ad-af46-d4ad887d102c"
"Other","Models","","LSM","Land Surface Model","73cef3bc-0a2c-4c10-9e5b-d0c64bca038f"
"Other","Models","","MERRA-2","The second Modern-Era Retrospective analysis for Research and Applications","09294834-bc5d-4937-ba1a-3a62b4329948"
"Other","Models","","MERRA","Modern-Era Retrospective Analysis for Research and Applications","5a147bc8-abc3-4c79-bbba-0a64bf888b41"
"Other","Models","","MICOM","Miami Isopycnic Coordinate Ocean Model","00f8ab1f-040f-40b4-ba64-9f6a4c2ca7ed"
"Other","Models","","MITgcm","Massachusetts Institute of Technology General Circulation Model","3fd56bd8-0e40-4401-9033-97df9a552001"
"Other","Models","","MODELS","MODELS","26d3953e-be79-46e4-b746-efb1983c3f5c"
"Other","Models","","ModelE","GISS GCM ModelE","8ad656db-1324-4e92-8273-5a765ca29282"
"Other","Models","","Mosaic-LSM","Mosaic Land Surface Model","8c1eb362-072d-4763-b6f3-6b706b257e6a"
"Other","Models","","NASA-GISS-3D-Tracer-Transport","","16ddc50b-7bb0-4a13-adef-dbdd5e2e2bcd"
"Other","Models","","NASA-GISS-Dust-Transport","","ac82f543-df04-4301-b5fa-dae2800197d6"
"Other","Models","","NCEP-CFSR","NCEP Climate Forecast System Reanalysis","929347c6-e7d9-4e72-a6c8-8926a369cb6b"
"Other","Models","","NCEP-CFSV2","NCEP Climate Forecast System Version 2","86ee0e30-96d0-4bb4-9ee6-a24aa0e0234b"
"Other","Models","","NCEP-ETA","NCEP Eta Model","2ecfc2b9-118b-4462-9352-9193eef0a1dc"
"Other","Models","","NCEP-FNL","NCEP Final Global Data Assimilation System","0ea8022d-e6bf-48e0-86ce-e1e7a886b7b1"
"Other","Models","","NCEP-GFS","NCEP Global Forecast System","53b3429a-d915-4d1c-b600-bf3e37874839"
"Other","Models","","NCEP-GODAS","NCEP Global Ocean Data Assimilation System","4201d98f-7f8a-46bf-b823-47385bbc7fed"
"Other","Models","","NCEP-MRF","NCEP Medium Range Forecast Model","6426710e-8498-4308-845e-c9c543bcc17e"
"Other","Models","","NCEP-NAM","NCEP North American Model","4cbc6cbe-50a2-4464-acd9-395379753d4e"
"Other","Models","","NCEP-RUC","NCEP Rapid Update Cycle Model","8c24fade-c39c-4b4f-b60c-d884ae780948"
"Other","Models","","NCEP/DOE-R2M","NCEP/DOE Reanalysis 2 Model","7c4302ef-0fca-4987-9515-d059b9e0bb95"
"Other","Models","","NCEP/NCAR-RM","NCEP/NCAR Reanalysis Model","b1c1ea44-000a-4535-8e90-d8dd447371d4"
"Other","Models","","NOBM","NASA Ocean Biogeochemical Model","b63e0078-74a3-431d-92f7-8853c10474e4"
"Other","Models","","Noah-LSM","Noah Land Surface Model","d92e3dca-7aeb-4cc1-9dc0-571844337222"
"Other","Models","","OBSERVATION BASED","OBSERVATION BASED ANALYSES","bb5002a8-6ff2-43dd-b0c9-8f9a76e11cb5"
"Other","Models","","OCEAN STATE ESTIMATION","","04d24dfe-c9f7-43b6-8bd8-8f2613767257"
"Other","Models","","OPERATIONAL MODELS","","9f95a56a-2669-427e-a785-de9162ffe133"
"Other","Models","","POM","Princeton Ocean Model","45d0ab0d-19d4-4fc4-8f69-9f6b4529a430"
"Other","Models","","Penman-Monteith","Penman-Monteith Model with Enhanced Surface Resistance Parameterization","3b746299-cd6d-4aa9-8de2-f05f3d6897cc"
"Other","Models","","RAQMS","Regional Air Quality Modeling System","012a6415-f410-467f-92a8-5196cfd211f4"
"Other","Models","","RASI","","2d0c75bf-49bc-4a76-bd77-b179ea677bc2"
"Other","Models","","REANALYSIS MODELS","","e804fb28-786b-460f-969c-7005b0803cde"
"Other","Models","","SMERGE","NLDAS-Noah and ESA-CCI Merged Soil Moisture","dbe12992-5ef4-47d2-b2a4-84a7c28e84f0"
"Other","Models","","SPEAR","Seamless System for Prediction and EArth System Research","3d374eb9-1eb4-4c64-b764-47f6206bbc85"
"Other","Models","","Unified Model UM","United Kingdom Met Office (UKMO) Unified Model","1ee7757f-8097-432c-b473-b2a2a1266f30"
"Other","Models","","VIC-LSM","Variable Infiltration Capacity (VIC) Land Surface Model","87a9b8ff-5da4-4a9e-815b-2564a1af2719"
"Other","Models","","WRF","Weather Research and Forecasting (WRF) Model","6fb2817f-c3e3-4332-85ad-79f74227e6bc"
"Other","Models","","","","0a184cdc-c074-4946-90a6-02f03c686341"
"Other","NOT APPLICABLE","","NOT APPLICABLE","","cffdd7e9-e25d-4c85-86ae-ff651532f02e"
"Other","NOT APPLICABLE","","","","76b8f939-8558-4a10-8139-c7f8a0162102"
"Other","Photographs","","AERIAL PHOTOGRAPHS","AERIAL PHOTOGRAPHS","3cb5948f-2a92-4c2a-9410-eb17a1045d8e"
"Other","Photographs","","STEREOGRAPHIC PHOTOGRAPHS","","c9219254-6f80-495b-b3dc-92b1abfdaa8b"
"Other","Photographs","","","","af32bc6d-1bfc-4a2b-8a63-43fcd20a773e"
"Other","Physical Models","","Analytical Lab","","ac63eed1-779d-4085-92f8-5743ec64a942"
"Other","Physical Models","","LABORATORY","LABORATORY","3cbb9f17-ddb1-48d3-a507-786887e485af"
"Other","Physical Models","","PHOTOSYNTHESIS CHAMBER","PHOTOSYNTHESIS CHAMBER","ec465fa3-b45e-4f0f-8a3b-857f91c8dbed"
"Other","Physical Models","","","","c85170ef-cf60-470e-b9d0-f22c138911fd"
"Other","Reports","","MISSION REPORTS","","f9846838-fdbc-4aa0-86e9-b0e70e97d0e2"
"Other","Reports","","Publications","","2e555886-1baa-4f05-899b-1d14ab69fe62"
"Other","Reports","","","","d62db12c-fdcf-40ec-a714-4fb7c615aebe"
"Other","","","","","5cd7da77-cb95-40aa-8775-b6df68e0aa63"
"Space-based Platforms","Earth Observation Satellites","Advanced Earth Observing Satellite (ADEOS)","ADEOS-II","Advanced Earth Observing Satellite-II","5d00fc17-cf10-4d1b-b871-07099d0b728a"
"Space-based Platforms","Earth Observation Satellites","Advanced Earth Observing Satellite (ADEOS)","ADEOS-I","Advanced Earth Observing Satellite-I","359bcfa1-966f-4d2b-a48d-ac12165d250f"
"Space-based Platforms","Earth Observation Satellites","Advanced Earth Observing Satellite (ADEOS)","","","119b40ad-749c-4ff6-af9b-1e9696f78dd8"
"Space-based Platforms","Earth Observation Satellites","Advanced Land Observing Satellite (ALOS)","ALOS-2","Advanced Land Observing Satellite-2","e4009ba2-7e5d-41ea-b4f9-c45788ad8589"
"Space-based Platforms","Earth Observation Satellites","Advanced Land Observing Satellite (ALOS)","ALOS","Advanced Land Observing Satellite","0bf5fb56-9d29-438a-a84f-a60296a2e503"
"Space-based Platforms","Earth Observation Satellites","Advanced Land Observing Satellite (ALOS)","","","6cca285c-edc4-4147-ba57-9cbbffbc0ae6"
"Space-based Platforms","Earth Observation Satellites","Advanced Technology Satellite (ATS)","ATS-1","Advanced Technology Satellite-1","5f78a0f6-bd07-4cbf-9e13-4ad44aeb4ac3"
"Space-based Platforms","Earth Observation Satellites","Advanced Technology Satellite (ATS)","ATS-2","Advanced Technology Satellite-2","1190ffd3-586f-46a5-bf9b-e7bf16281edd"
"Space-based Platforms","Earth Observation Satellites","Advanced Technology Satellite (ATS)","ATS-3","Advanced Technology Satellite-3","6988684a-7e7c-48a7-a1c3-2586dddd1fd4"
"Space-based Platforms","Earth Observation Satellites","Advanced Technology Satellite (ATS)","ATS-4","Advanced Technology Satellite-4","cb8e56df-863a-41a6-a389-237a9725ae8b"
"Space-based Platforms","Earth Observation Satellites","Advanced Technology Satellite (ATS)","","","14b369b6-19d4-41fe-b1bc-27807ecb666d"
"Space-based Platforms","Earth Observation Satellites","Aeros","AEROS-1","","6164d877-53a0-4ba2-b73a-9dfb363474c9"
"Space-based Platforms","Earth Observation Satellites","Aeros","AEROS-2","","df8ac2e0-810a-4671-b2dc-c031487d14ee"
"Space-based Platforms","Earth Observation Satellites","Aeros","","","52aef8fa-ae6a-451a-a227-d109a6605cf6"
"Space-based Platforms","Earth Observation Satellites","Alouette","ALOUETTE-1","","4f800938-81f5-4478-bb05-54915f641b70"
"Space-based Platforms","Earth Observation Satellites","Alouette","ALOUETTE-2","","080e9bc1-058f-4eab-b7ce-009b323299ca"
"Space-based Platforms","Earth Observation Satellites","Alouette","","","5981d335-9b9d-4043-a963-f71a678384ee"
"Space-based Platforms","Earth Observation Satellites","Applications Explorer Mission (AEM)","AEM-1","Applications Explorer Mission-1","cb310a29-01bb-4b52-8ff2-52dbfda7d050"
"Space-based Platforms","Earth Observation Satellites","Applications Explorer Mission (AEM)","AEM-2","Applications Explorer Mission-2","a796345a-53d4-400d-ba32-e7c7eaa1a1cc"
"Space-based Platforms","Earth Observation Satellites","Applications Explorer Mission (AEM)","AEM-3","Applications Explorer Mission-3","7921a2bb-f13b-43ce-ad18-cfce4f3deb9c"
"Space-based Platforms","Earth Observation Satellites","Applications Explorer Mission (AEM)","","","b1337c5b-c705-42c0-bc07-97689734253c"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Dynamics Mission-Aeolus (ADM-Aeolus)​","AD-A","Atmosphere Dynamics A (Explorer 19)","0e03a1c5-1d20-46ae-9041-94d1ff77783f"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Dynamics Mission-Aeolus (ADM-Aeolus)​","AD-B","Atmosphere Dynamics B (Explorer 24)","fd3a7054-3aec-41ea-a281-3edba4f9f313"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Dynamics Mission-Aeolus (ADM-Aeolus)​","AD-C","Atmosphere Dynamics C (Explorer 39)","23be0822-1db5-4bf6-bf28-f6bd36754ac3"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Dynamics Mission-Aeolus (ADM-Aeolus)​","","","d1bbc871-749b-4759-bf4f-f8349f8b4020"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Explorer (AE)","AE-A","Atmosphere Explorer A (Explorer 17)","5a2b20fa-89d3-4cfc-b186-fbc29113e910"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Explorer (AE)","AE-B","Atmosphere Explorer B (Explorer 32)","65bdc896-7ed5-4d22-8b15-df0914b5be69"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Explorer (AE)","AE-C","Atmosphere Explorer C (Explorer 51)","f62c196b-8ec3-40e8-a824-6849e5a496f2"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Explorer (AE)","AE-D","Atmosphere Explorer D (Explorer 54)","3516fe07-9d51-42f3-b635-b6a5001e1d6c"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Explorer (AE)","AE-E","Atmosphere Explorer E (Explorer 55)","340b5b79-16c4-4cb7-9476-5cbab3efd834"
"Space-based Platforms","Earth Observation Satellites","Atmosphere Explorer (AE)","","","96dcdb2e-3861-4a4b-97f4-764fd117a0f1"
"Space-based Platforms","Earth Observation Satellites","Beacon Explorer (BE)","BE-B","Beacon Explorer-B","f18c5acb-6318-4d40-bda2-459ec09c57f5"
"Space-based Platforms","Earth Observation Satellites","Beacon Explorer (BE)","BE-C","Beacon Explorer-C","b0376960-fe7c-4117-8da6-d56a124d09bf"
"Space-based Platforms","Earth Observation Satellites","Beacon Explorer (BE)","","","74cf41a6-464f-44bf-ba05-1535200d6354"
"Space-based Platforms","Earth Observation Satellites","Cartosat","CARTOSAT-2A","","16ee6fd3-565f-49b4-8b6e-73c4f8858e01"
"Space-based Platforms","Earth Observation Satellites","Cartosat","CARTOSAT-2","","71ccf8e3-7b1f-418d-9bc0-0ead78ec75ee"
"Space-based Platforms","Earth Observation Satellites","Cartosat","","","b65c6b10-a648-4a7c-9af1-71506ed9bb13"
"Space-based Platforms","Earth Observation Satellites","China-Brazil Earth Resources Satellite (CBERS)","CBERS-1","China-Brazil Earth Resource Satellite 1","0303de56-025a-416c-8a2e-ac14979dc455"
"Space-based Platforms","Earth Observation Satellites","China-Brazil Earth Resources Satellite (CBERS)","CBERS-2B","China-Brazil Earth Resource Satellite 2B","274b7618-c580-4466-8a63-f79b0beb778c"
"Space-based Platforms","Earth Observation Satellites","China-Brazil Earth Resources Satellite (CBERS)","CBERS-2","China-Brazil Earth Resource Satellite 2","808fa0c2-1d97-4347-a5dd-2b285000c6f2"
"Space-based Platforms","Earth Observation Satellites","China-Brazil Earth Resources Satellite (CBERS)","CBERS-3","China-Brazil Earth Resource Satellite 3","064b3481-8a82-4c2b-9d59-86eda10cff53"
"Space-based Platforms","Earth Observation Satellites","China-Brazil Earth Resources Satellite (CBERS)","CBERS-4","China-Brazil Earth Resource Satellite 4","8551bdde-6ae3-459f-a903-ec1ce7fab5d9"
"Space-based Platforms","Earth Observation Satellites","China-Brazil Earth Resources Satellite (CBERS)","","","2b68d69c-e4c8-4194-8db6-8b9002607fb6"
"Space-based Platforms","Earth Observation Satellites","Constellation of Small Satellites for Mediterranean basin Observation (COSMO)","COSMO-SKYMED","Constellation of Small Satellites for Mediterranean basin Observation","97116573-f0a2-4e18-8601-77e43b717be6"
"Space-based Platforms","Earth Observation Satellites","Constellation of Small Satellites for Mediterranean basin Observation (COSMO)","COSMO-SkyMed Second Generation (CSG)","COSMO-SkyMed Second Generation (CSG)","b359999f-bb1e-43de-ae6e-1e9dc44e752a"
"Space-based Platforms","Earth Observation Satellites","Constellation of Small Satellites for Mediterranean basin Observation (COSMO)","","","7545e1af-1a3a-4ebc-95e3-cbff49cca4c5"
"Space-based Platforms","Earth Observation Satellites","Cosmos","COSMOS 1500","","04bda92c-0e4f-4e60-82d0-2242b14ce0c4"
"Space-based Platforms","Earth Observation Satellites","Cosmos","COSMOS 49","","8491e067-951e-4cba-9619-d376b5c628a0"
"Space-based Platforms","Earth Observation Satellites","Cosmos","","","0aee28fe-1c74-4743-8855-003bc1075174"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5B/F3","Defense Meteorological Satellite Program-F3","7ed12e98-95b1-406c-a58a-f4bbfa405269"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-1/F1","Defense Meteorological Satellite Program-F1","f2a6694b-5ba1-464a-9d0f-d0212e492d53"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-1/F2","Defense Meteorological Satellite Program-F2","caece537-38fc-4888-8ca7-1f4570dcf409"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-1/F3","Defense Meteorological Satellite Program-F3","06d68016-affc-4477-86f5-e14a7a9839f2"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-1/F4","Defense Meteorological Satellite Program-F4","66014559-5d7a-4f53-811a-1c5b682e4e56"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-1/F5","Defense Meteorological Satellite Program-F5","60e10f22-c473-4368-888f-886a751662ea"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F10","Defense Meteorological Satellite Program-F10","aa866680-32cd-4bd2-88ee-ae7b45c629da"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F11","Defense Meteorological Satellite Program-F11","0d8490b8-347e-4f61-a747-07700c863b47"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F12","Defense Meteorological Satellite Program-F12","60bf045b-f556-4461-8dcc-54dc63300537"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F13","Defense Meteorological Satellite Program-F13","48a1fe2e-6cb2-44ad-8303-0a3328b1e5e4"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F14","Defense Meteorological Satellite Program-F14","b13ff0b8-748c-475c-8512-361ae27a9395"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F15","Defense Meteorological Satellite Program-F15","0661540e-f7b7-469b-9ef7-eaa0dd7a6d10"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F6","Defense Meteorological Satellite Program-F6","030470d1-f545-4775-90b3-b12978cd6315"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F7","Defense Meteorological Satellite Program-F7","b8d201a6-28e8-4889-bc23-97babf5a75c5"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F8","Defense Meteorological Satellite Program-F8","d6a9e2e1-7c3b-4c10-9ffb-59c40b1b2061"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-2/F9","Defense Meteorological Satellite Program-F9","88f4f200-a0fc-4325-aea6-6f525ca31bfe"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-3/F15","Defense Meteorological Satellite Program-F15","4d78ad33-3b1d-4ddc-9d4a-296600363d45"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-3/F16","Defense Meteorological Satellite Program-F16","2f4b0671-f9a0-4912-96cd-96527a4c0678"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-3/F17","Defense Meteorological Satellite Program-F17","be9ed5c4-4d6b-45fa-9bf7-55b7995fbd15"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-3/F18","Defense Meteorological Satellite Program-F18","859c1a88-56d5-48c2-839d-6d18f7746379"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP 5D-3/F19","Defense Meteorological Satellite Program-F19","d1ad8ea7-b460-44b2-a96a-1040d156eeb4"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","DMSP","Defense Meteorological Satellite Program","64dfed70-dca2-4656-83d9-63e74c1b0740"
"Space-based Platforms","Earth Observation Satellites","Defense Meteorological Satellite Program (DMSP)","","","1cf8cbcd-c1be-4c78-9272-b62adad59aa1"
"Space-based Platforms","Earth Observation Satellites","Deimos","Deimos-2","Deimos-2 Minisatellite Mission","48e0f5f2-08fb-4739-8c5f-f53e24003f8c"
"Space-based Platforms","Earth Observation Satellites","Deimos","","","f122ab59-266b-4be9-99ad-4c2172bcf97c"
"Space-based Platforms","Earth Observation Satellites","Diadem","DIADEM-1C","","5edd7e9b-8b22-438a-b2e2-2c708bd0ac9c"
"Space-based Platforms","Earth Observation Satellites","Diadem","DIADEM-1D","","143a5181-7601-4cc7-96d1-2b1a04b08fa7"
"Space-based Platforms","Earth Observation Satellites","Diadem","","","4a21b488-a0ed-4b11-9b7a-a32e123b555e"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 1st Generation (DMC-1G)","ALSAT-1","","5ec20355-ec48-41cf-9020-9d094af549e6"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 1st Generation (DMC-1G)","BEIJING-1","","05d8035f-176b-451a-a52b-43d2cc6286bb"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 1st Generation (DMC-1G)","BILSAT-1","BILSAT-1","144d9185-4435-4cb3-8f09-b3f569eb3a33"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 1st Generation (DMC-1G)","NIGERIASAT-1","NIGERIASAT-1","cf904fd3-2fba-40b8-9950-4e200b83a919"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 1st Generation (DMC-1G)","UK-DMC","United Kingdom-Disaster Monitoring Constellation","2a79b3d1-6417-4ec7-bf03-ac03f0b45266"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 1st Generation (DMC-1G)","","","591c05ef-9b21-4c96-84b5-33f95cca3ab7"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 2nd Generation (DMC-2G)","Deimos-1","Deimos-1 Microsatellite Mission","8b35d386-0999-4b6e-ad12-f8501427b0ca"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 2nd Generation (DMC-2G)","NigeriaSat-2","NigeriaSat-2","1dda5116-4079-445e-ae1c-614e49879cf3"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 2nd Generation (DMC-2G)","NigeriaSat-X","NigeriaSat-X","35cafb99-393d-4727-a89d-5472512b2fdf"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 2nd Generation (DMC-2G)","UK-DMC-2","United Kingdom-Disaster Monitoring Constellation-2","03afbb23-76cc-4241-b5a3-853367f8461f"
"Space-based Platforms","Earth Observation Satellites","Disaster Monitoring Constellation- 2nd Generation (DMC-2G)","","","e5184d15-eec8-4703-8318-243748ddbd0e"
"Space-based Platforms","Earth Observation Satellites","Dynamics Explorer (DE)","DE-1","Dynamics Explorer-1","59dcd28c-9bd0-4b00-a68c-d892c68bf614"
"Space-based Platforms","Earth Observation Satellites","Dynamics Explorer (DE)","DE-2","Dynamics Explorer-2","1bc7b5ee-93b6-4bc4-b340-89507104d33f"
"Space-based Platforms","Earth Observation Satellites","Dynamics Explorer (DE)","","","74bd6271-10ce-428d-8368-4abbd12da55f"
"Space-based Platforms","Earth Observation Satellites","EXPLORER","EXPLORER-9","Air Density Sphere","84d39d18-7ae4-4f86-9626-694de58da933"
"Space-based Platforms","Earth Observation Satellites","EXPLORER","","","0c52630e-cc77-42ab-b1ae-cb736486200e"
"Space-based Platforms","Earth Observation Satellites","Earth Explorers","Biomass","Biomass monitoring mission for Carbon Assessment","a9b21edd-49b7-43be-8e35-8652bbc5559a"
"Space-based Platforms","Earth Observation Satellites","Earth Explorers","CRYOSAT-2","CRYOSAT-2","a915ab2f-46c5-493b-9f18-aeb3383ee72b"
"Space-based Platforms","Earth Observation Satellites","Earth Explorers","GOCE","Gravity Field and Steady-State Ocean Circulation Explorer","b4fc57c3-7f36-40dc-8067-8b1f4dff4e3d"
"Space-based Platforms","Earth Observation Satellites","Earth Explorers","SMOS","Soil Moisture and Ocean Salinity (Earth Explorer Opportunity Mission)","a641c997-0bd2-41aa-ba43-8e03066c3c2a"
"Space-based Platforms","Earth Observation Satellites","Earth Explorers","","","fe9b35e7-6243-44bb-ac42-ce8350e7a86f"
"Space-based Platforms","Earth Observation Satellites","Earth Resources Observation Satellite (EROS)","EROS-A1","","ca01c6b2-f799-4f8a-bb33-d553a244048e"
"Space-based Platforms","Earth Observation Satellites","Earth Resources Observation Satellite (EROS)","EROS-B1","","ce7434f6-7558-434a-afbf-c29500e4ca0d"
"Space-based Platforms","Earth Observation Satellites","Earth Resources Observation Satellite (EROS)","","","52de5848-a1f3-4efe-a784-2bb93fc51f1d"
"Space-based Platforms","Earth Observation Satellites","Echo","ECHO-1","","9b532124-c5a7-40c7-9788-a61ff1295363"
"Space-based Platforms","Earth Observation Satellites","Echo","ECHO-2","","6e2adc45-a039-46cb-b8e5-e4743df7e656"
"Space-based Platforms","Earth Observation Satellites","Echo","","","0a3e3bc3-d878-44f0-9650-145a53062c36"
"Space-based Platforms","Earth Observation Satellites","Elektro-L","Elektro-L N1","Geostationary Operational Meteorological Satellite","6d0d4c3e-acfb-4bfd-ab0d-4478e18e4b19"
"Space-based Platforms","Earth Observation Satellites","Elektro-L","Elektro-L N3","","2c780dff-fce3-4625-8b89-a7cd2d64d6ec"
"Space-based Platforms","Earth Observation Satellites","Elektro-L","","","882c16a9-0bc6-4773-8066-e25ea8de3c9d"
"Space-based Platforms","Earth Observation Satellites","Environmental Science Services Administration (ESSA)","ESSA-3","Environmental Science Services Administration Satellite 3","c7706afe-079a-4966-8a9e-6a688ca9b880"
"Space-based Platforms","Earth Observation Satellites","Environmental Science Services Administration (ESSA)","ESSA-4","Environmental Science Services Administration Satellite 4","50992afe-f79e-47fc-a1a2-126dc2c42c9a"
"Space-based Platforms","Earth Observation Satellites","Environmental Science Services Administration (ESSA)","ESSA-5","Environmental Science Services Administration Satellite 5","8b67c88a-b62f-4585-a5d3-8e0005f42fd0"
"Space-based Platforms","Earth Observation Satellites","Environmental Science Services Administration (ESSA)","ESSA-7","Environmental Science Services Administration Satellite 7","2e4252b9-5b53-41bb-8212-1e63a540181f"
"Space-based Platforms","Earth Observation Satellites","Environmental Science Services Administration (ESSA)","ESSA-9","Environmental Science Services Administration Satellite 9","1dc828a8-8502-479d-b7c4-d5139c06029a"
"Space-based Platforms","Earth Observation Satellites","Environmental Science Services Administration (ESSA)","","","65cb3e7c-d4d8-46df-a5fc-aec63e58e8df"
"Space-based Platforms","Earth Observation Satellites","Etalon","ETALON-1","","0bd45536-e8d5-42bf-998f-05ce4d0f0a49"
"Space-based Platforms","Earth Observation Satellites","Etalon","ETALON-2","","c9c07cf0-49eb-4c7f-aeff-2e95caae9500"
"Space-based Platforms","Earth Observation Satellites","Etalon","","","820b20d7-03b3-43a3-9c7a-f28fa3b0bfe2"
"Space-based Platforms","Earth Observation Satellites","European Remote Sensing Satellite (ERS)","ERS-1","European Remote Sensing Satellite-1","02c85d04-228e-4bf3-bb03-d72c22681dff"
"Space-based Platforms","Earth Observation Satellites","European Remote Sensing Satellite (ERS)","ERS-2","European Remote Sensing Satellite-2","affbd015-9373-4413-b76f-e91d01c4f5e3"
"Space-based Platforms","Earth Observation Satellites","European Remote Sensing Satellite (ERS)","","","3b6b4870-ae80-4488-b9fb-f9152037ec59"
"Space-based Platforms","Earth Observation Satellites","FengYun-2","FY-2D","FengYun-2D","3019aa61-89f6-4226-97b3-6c80ef65da10"
"Space-based Platforms","Earth Observation Satellites","FengYun-2","FY-2E","FengYun-2E","d2b2dc9e-7a97-4e16-8562-1087a74fb9c9"
